num,norm_time,div_time,dup_time,opt_time,data_size,norm_attacker_time,norm_h3_time,norm_h4_time,norm_h5_time,norm_h6_time,norm_h7_time,norm_h8_time,norm_h9_time,norm_h10_time,div_attacker_time,div_h3_time,div_h4_time,div_h5_time,div_h6_time,div_h7_time,div_h8_time,div_h9_time,div_h10_time,dup_attacker_time,dup_h3_time,dup_h4_time,dup_h5_time,dup_h6_time,dup_h7_time,dup_h8_time,dup_h9_time,dup_h10_time,opt_attacker_time,opt_h3_time,opt_h4_time,opt_h5_time,opt_h6_time,opt_h7_time,opt_h8_time,opt_h9_time,opt_h10_time
72,48.2012178898,50.7019019127,49.4602360725,45.7743179798,60000,37.469,45.883,41.851,47.616,44.579,44.275,47.455,47.413,37.475,28.846,45.403,49.907,44.147,50.183,48.745,48.028,42.394,47.174,38.350,41.949,45.555,48.043,46.418,41.890,48.992,41.400,44.939,15.134,40.879,40.739,42.593,43.834,45.224,43.275,36.453,44.902
73,45.594492197,50.3866438866,51.4549300671,44.3977980614,60000,39.063,39.315,39.481,44.006,43.415,41.415,45.132,42.020,34.755,31.333,47.578,43.984,46.828,49.642,47.391,49.932,49.605,47.273,35.722,50.595,43.201,46.852,50.732,50.299,46.671,49.044,50.878,15.327,43.781,39.135,43.037,36.350,43.538,40.964,43.895,38.827
74,48.6330168247,46.8141450882,46.8823559284,47.6686439514,60000,46.848,47.201,40.483,47.117,33.696,46.683,48.114,47.414,43.175,24.962,45.803,46.298,45.469,36.039,44.071,40.929,43.164,39.858,28.510,42.360,46.442,46.362,46.128,40.722,43.319,45.777,43.650,14.064,45.594,44.837,45.089,41.977,44.388,47.178,45.631,37.197
75,46.7943999767,50.2310900688,52.0850510597,45.2337620258,60000,46.338,44.721,43.006,37.973,41.995,44.448,37.552,42.211,38.873,27.906,42.319,47.171,49.301,48.487,46.245,48.266,46.237,49.495,43.880,40.038,51.572,46.665,50.208,51.283,49.557,49.830,49.460,15.319,44.568,40.311,34.768,43.364,41.748,42.317,44.545,44.173
76,42.8305151463,51.9282300472,49.2352011204,46.7577769756,60000,41.007,42.111,42.362,38.847,40.854,34.049,28.926,42.163,36.397,28.965,51.163,48.447,50.059,49.346,46.761,49.440,51.409,48.887,33.459,47.705,47.379,48.824,42.770,46.985,39.134,40.230,47.482,15.516,43.373,44.011,46.186,41.185,35.073,46.199,41.641,45.589
77,47.7496919632,49.5496928692,50.4577670097,48.1463699341,60000,47.265,41.768,36.243,47.208,40.671,45.250,45.201,44.021,46.629,30.653,48.411,49.018,48.948,48.924,41.160,41.207,47.553,45.907,42.882,48.408,42.682,49.807,49.816,41.667,49.668,49.333,48.151,15.404,45.634,47.675,38.828,45.927,46.218,42.563,33.361,46.264
78,50.4173560143,47.4531629086,51.5128610134,47.1385810375,60000,42.297,49.710,49.827,49.522,49.604,45.415,44.281,39.155,46.036,34.030,39.851,45.001,42.996,46.613,42.083,42.435,46.890,43.981,37.966,49.416,45.757,47.967,44.519,50.962,50.852,50.903,47.036,14.698,37.735,44.901,46.652,45.301,39.821,45.135,46.207,45.394
79,49.3863680363,51.9406559467,51.6388010979,44.3303148746,60000,47.524,47.039,44.555,39.634,45.959,34.090,45.058,40.524,48.568,30.921,46.323,49.143,50.825,51.342,49.136,47.720,51.448,42.066,41.520,48.718,39.089,45.550,47.832,44.742,50.451,48.913,50.980,16.205,41.232,36.234,42.046,43.059,40.736,43.819,41.269,38.809
80,47.4348728657,51.8266818523,48.7865841389,46.1229948997,60000,45.675,45.502,41.027,37.677,37.688,46.901,46.067,45.653,46.633,29.598,50.644,49.447,42.729,41.827,51.268,49.069,49.425,49.640,30.840,46.409,41.409,48.279,48.189,43.440,47.054,47.318,45.425,16.073,45.369,44.432,45.289,44.709,45.731,31.835,40.551,40.061
81,51.1584191322,48.6974589825,48.8321149349,41.2809810638,60000,48.666,48.465,48.066,36.770,50.686,47.413,47.851,44.086,40.091,32.780,46.343,47.932,41.914,48.112,44.630,47.852,48.244,36.151,29.358,47.490,44.566,47.164,38.989,48.289,43.050,47.387,47.129,16.897,31.920,38.977,39.668,37.468,40.784,32.695,39.816,30.854
